Market trend,top 0 to 10% Return,top 10 to 20% Return,top 20 to 30% Return,top 30 to 40% Return,top 40 to 50% Return,top 50 to 60% Return,top 60 to 70% Return,top 70 to 80% Return,top 80 to 90% Return,top 90 to 100% Return
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.999744777253588,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9926757182195792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9997848110137868,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9902955155220292,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9968461975626032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9917523530858452,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9958188801049233,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9894309067040156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.990939291496659,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.995420664593229,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9947674520894092,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9945040269372424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9885745755431864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9854078900611536,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9890836815605748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9799351245390832,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9832838432277348,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.975498164835877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.978813682594078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9790760241256682,0.9999369239999996,1.0003641120000002,1.0005519319999996,1.000153808,0.999497802,1.0005289119999992,1.0005419140000005,1.0001250679999996,1.000296214,0.998412114
0.9818970948448392,1.0063657079999997,1.0055635720000002,1.0020846359999998,1.0067918359999992,1.0014288520000003,1.005379899999999,1.005248582,1.006474429999999,1.0122561640000003,1.0005236880000004
0.9912240278535034,1.012381702,1.01347486,1.0133893979999995,1.0141751579999996,1.014187786,1.0204185679999989,1.025858306,1.0264943079999993,1.029186128,1.0138383720000004
0.988185841711539,1.0126938059999997,1.013038904,1.0113056279999997,1.0133950499999993,1.0117327719999998,1.017382647999999,1.0136815199999996,1.0193692059999997,1.02673981,1.008267208
0.9818163199610088,1.0065550159999996,1.0067111099999997,1.0003182700000002,0.9999084899999992,0.999316258,1.0053477479999993,1.0029686219999996,1.0081811739999993,1.013698272,1.0002666120000003
0.9510669155121052,0.977475964,0.9684391699999992,0.9550715459999995,0.9504311279999992,0.9503973819999996,0.9592389239999995,0.950041882,0.9519942619999996,0.961466568,0.9585070860000002
0.956232941159508,0.98184166,0.9725930379999994,0.9595948399999996,0.9564730279999988,0.9626121319999998,0.9642794839999992,0.9642349759999996,0.9628697359999996,0.9686697800000004,0.9628892700000005
0.9559071024721736,0.9810536239999998,0.9727738339999994,0.9594989040000002,0.9535112959999992,0.9622521439999998,0.9637007359999994,0.964902956,0.9607389539999996,0.968811204,0.9646625639999997
0.9573964787538652,0.9787936340000004,0.9692297599999988,0.9571849199999996,0.9512357039999996,0.9636171859999992,0.9658974239999992,0.967163114,0.9581748739999998,0.96982607,0.9709291160000002
0.9648780962219252,0.9869525480000004,0.9820599339999996,0.969132294,0.9636021339999994,0.9768196259999996,0.9764041579999988,0.9757028719999998,0.9774957299999996,0.9901576119999996,0.9837999640000004
0.9666263073186182,0.990354184,0.9836873719999994,0.966994594,0.9624800579999996,0.9742414939999996,0.9719067839999992,0.975048262,0.987868678,1.0062502599999998,0.9891612839999999
0.969794166722942,0.9900020440000004,0.9858721339999994,0.9682278139999998,0.9652711339999996,0.9758169179999996,0.9764617279999984,0.972829746,0.9918753419999996,1.0080776379999996,0.9979128539999997
0.9797385377061054,1.0017924080000005,0.9968427439999994,0.9810196999999998,0.9781606099999992,0.9897284979999996,0.9888093519999984,0.9937179419999996,0.9954065199999996,1.031431746,1.010834268
0.9779146086216072,1.0042591460000003,0.9950112599999994,0.9779339899999996,0.9750830619999992,0.9890155559999994,0.9827830519999988,0.9933138659999998,0.9980447819999996,1.0202930760000002,1.0043904499999998
0.9780065809180644,0.9953609960000004,0.9894358459999996,0.974560164,0.9710553559999996,0.9864315219999996,0.9867595559999988,0.9913129479999998,0.9941183059999996,1.0246984300000004,1.0066079619999995
0.9857963379373712,1.0021271360000008,0.9996578919999988,0.9868720899999994,0.9776050759999996,0.997846701999999,1.006691925999999,1.0029207059999998,0.9997652459999996,1.0370161940000004,1.0239538739999996
0.9814971485502788,0.9997028420000008,0.9981174639999988,0.9820466299999996,0.9746143399999992,0.9885095319999988,1.0020874739999983,0.9978109679999994,1.0058980259999997,1.0289371500000009,1.0110874399999998
0.9815531055128428,1.0011070120000007,0.9956968179999988,0.9852820299999994,0.9754810179999992,0.991494069999999,1.002593973999998,0.9986982059999994,1.0047174019999998,1.029537656000001,1.0139094639999997
